Experiment,Method,Dataset,Metric,Improvement
all,SemSegRep,Repair,px_acc,0.4135486839
all,SemSegRep,Repair,px_acc,1.306312795
all,SemSegRep,Repair,px_acc,1.021898036
all,SemSegRep,Repair,px_acc,0.9511506137
all,SemSegRep,Repair,px_acc,1.497142893
all,SemSegRep,Repair,px_acc,0.1705022179
all,SemSegRep,Repair,px_acc,1.160031579
all,SemSegRep,Repair,px_acc,1.83212693
all,SemSegRep,Repair,px_acc,1.600811463
all,SemSegRep,Repair,px_acc,1.194124794
car,SemSegRep,Repair,px_acc,3.216760515
car,SemSegRep,Repair,px_acc,2.683105274
car,SemSegRep,Repair,px_acc,3.226403927
car,SemSegRep,Repair,px_acc,2.75222436
car,SemSegRep,Repair,px_acc,2.628278627
car,SemSegRep,Repair,px_acc,1.226238156
car,SemSegRep,Repair,px_acc,2.467246936
car,SemSegRep,Repair,px_acc,2.963051122
car,SemSegRep,Repair,px_acc,0.7142181611
car,SemSegRep,Repair,px_acc,3.139868255
dirt,SemSegRep,Repair,px_acc,0.4242400155
dirt,SemSegRep,Repair,px_acc,0.648670482
dirt,SemSegRep,Repair,px_acc,0.3164556231
dirt,SemSegRep,Repair,px_acc,-0.05924733243
dirt,SemSegRep,Repair,px_acc,0.5474485866
dirt,SemSegRep,Repair,px_acc,0.4617895144
dirt,SemSegRep,Repair,px_acc,0.6848913063
dirt,SemSegRep,Repair,px_acc,0.2898705779
dirt,SemSegRep,Repair,px_acc,0.3862419753
dirt,SemSegRep,Repair,px_acc,1.189227835
fence,SemSegRep,Repair,px_acc,1.371466437
fence,SemSegRep,Repair,px_acc,0.8365055444
fence,SemSegRep,Repair,px_acc,1.007690296
fence,SemSegRep,Repair,px_acc,0.7914801457
fence,SemSegRep,Repair,px_acc,0.9495350783
fence,SemSegRep,Repair,px_acc,1.050081031
fence,SemSegRep,Repair,px_acc,2.343980251
fence,SemSegRep,Repair,px_acc,2.358620031
fence,SemSegRep,Repair,px_acc,1.846457674
fence,SemSegRep,Repair,px_acc,2.092289143
all,Arachne,Repair,px_acc,-0.002937912967
all,Arachne,Repair,px_acc,0.5004933525
all,Arachne,Repair,px_acc,0.0409655562
all,Arachne,Repair,px_acc,0.4301951363
all,Arachne,Repair,px_acc,-0.08673297366
all,Arachne,Repair,px_acc,1.257209891
all,Arachne,Repair,px_acc,1.002644122
all,Arachne,Repair,px_acc,1.70527518
all,Arachne,Repair,px_acc,0.4478845736
all,Arachne,Repair,px_acc,0.5283028415
car,Arachne,Repair,px_acc,0.1127615012
car,Arachne,Repair,px_acc,1.201016517
car,Arachne,Repair,px_acc,1.897042368
car,Arachne,Repair,px_acc,1.037769232
car,Arachne,Repair,px_acc,-0.007294988508
car,Arachne,Repair,px_acc,0.01417554941
car,Arachne,Repair,px_acc,0.1883998525
car,Arachne,Repair,px_acc,0.2613869298
car,Arachne,Repair,px_acc,0.5884075035
car,Arachne,Repair,px_acc,0.4506740824
dirt,Arachne,Repair,px_acc,0.1995784751
dirt,Arachne,Repair,px_acc,0.3658129952
dirt,Arachne,Repair,px_acc,0.00480633586
dirt,Arachne,Repair,px_acc,0.5160340982
dirt,Arachne,Repair,px_acc,0.3163516399
dirt,Arachne,Repair,px_acc,0.05819594646
dirt,Arachne,Repair,px_acc,0.5543576944
dirt,Arachne,Repair,px_acc,0.07636990393
dirt,Arachne,Repair,px_acc,0.3375180035
dirt,Arachne,Repair,px_acc,0.1939287197
fence,Arachne,Repair,px_acc,0.2989534857
fence,Arachne,Repair,px_acc,0.291167559
fence,Arachne,Repair,px_acc,0.06863794565
fence,Arachne,Repair,px_acc,0.1434151535
fence,Arachne,Repair,px_acc,0.4863501148
fence,Arachne,Repair,px_acc,0.04609417715
fence,Arachne,Repair,px_acc,0.1004092489
fence,Arachne,Repair,px_acc,0.2491745085
fence,Arachne,Repair,px_acc,0.4622466754
fence,Arachne,Repair,px_acc,0.06036112656
all,SemSegRep,Test,px_acc,0.2854521743
all,SemSegRep,Test,px_acc,1.622024443
all,SemSegRep,Test,px_acc,1.409068349
all,SemSegRep,Test,px_acc,1.296997731
all,SemSegRep,Test,px_acc,1.773413854
all,SemSegRep,Test,px_acc,0.1675779978
all,SemSegRep,Test,px_acc,1.435124996
